ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L;isbn_length
0440234743;The Testament;John Grisham;1999.0;Dell;http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;10
0452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994.0;Plume;http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg;10
0971880107;Wild Animus;Rich Shapero;2004.0;Too Far;http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg;10
0345402871;Airframe;Michael Crichton;1997.0;Ballantine Books;http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;10
0345417623;Timeline;MICHAEL CRICHTON;2000.0;Ballantine Books;http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;10
0446310786;To Kill a Mockingbird;Harper Lee;1988.0;Little Brown & Company;http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg;10
0449005615;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002.0;Ballantine Books;http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg;10
0060168013;Pigs in Heaven;Barbara Kingsolver;1993.0;Harpercollins;http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg;10
0671888587;I'll Be Seeing You;Mary Higgins Clark;1994.0;Pocket;http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg;10
0553582747;From the Corner of His Eye;Dean Koontz;2001.0;Bantam Books;http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg;10
0425182908;Isle of Dogs;Patricia Cornwell;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg;10
042518630X;Purity in Death;J.D. Robb;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg;10
0440223571;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997.0;Dell;http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg;10
0842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000.0;Tyndale House Publishers;http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg;10
0440225701;The Street Lawyer;JOHN GRISHAM;1999.0;Dell;http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg;10
