User-ID;Location;Age
243;arden hills, minnesota, usa;
254;minneapolis, minnesota, usa;24.0
638;san diego, california, usa;20.0
805;sonoma, california, usa;34.0
882;berkeley, california, usa;23.0
1025;maidstone, england, united kingdom;33.0
1131;berkeley, ,;22.0
1424;north avoca, new south wales, australia;
1435;st. louis, missouri, usa;36.0
1848;bellingham, washington, usa;22.0
2033;omaha, nebraska, usa;27.0
2110;charlotte, north carolina, usa;
2276;niskayuna, new york, usa;46.0
2337;grove city, ohio, usa;34.0
2766;frisco, texas, usa;42.0
2891;beaverton, oregon, usa;
3167;milwaukee, wisconsin, usa;42.0
3363;knoxville, tennessee, usa;29.0
3371;groveland, massachusetts, usa;25.0
3373;elk grove, california, usa;30.0
3827;orlando, florida, usa;23.0
4017;new orleans, louisiana, usa;48.0
4938;charleston, south carolina, usa;30.0
5476;chester, ,;
5539;austin, texas, usa;32.0
5582;seattle, washington, usa;26.0
6073;houston, texas, usa;28.0
6238;silsden, keighley, west yorkshire, united kingdom;38.0
6242;calgary, alberta, canada;
6251;wahiawa, hawaii, usa;32.0
6323;wilmington, north carolina, usa;35.0
6532;new westminster, british columbia, canada;
6543;strafford, missouri, usa;34.0
6563;burien, washington, usa;31.0
6575;seattle, washington, usa;
6577;coral springs, florida, usa;62.0
6772;calgary, ,;
7125;apo, ae, usa;28.0
7158;omaha, nebraska, usa;30.0
7283;saint marys, georgia, usa;30.0
7346;sunnyvale, california, usa;49.0
7841;salt lake city, utah, usa;
7915;st. paul, minnesota, usa;
8066;chicago, illinois, usa;
8067;owings mills, maryland, usa;26.0
8234;colorado springs, colorado, usa;44.0
8245;torrance, california, usa;31.0
8253;tulsa, oklahoma, usa;26.0
8454;auburndale, massachusetts, usa;
8681;orlando, florida, usa;34.0
8734;chula vista, california, usa;
8801;san francisco, california, usa;24.0
8936;elizabeth city, north carolina, usa;18.0
9417;whitby, ontario, canada;26.0
9613;collings lakes, new jersey, usa;34.0
9856;glendale, colorado, usa;22.0
10314;beaverton, oregon, usa;
10447;chicago, illinois, usa;
10560;chicago, illinois, usa;27.0
11224;tumwater, washington, usa;51.0
11245;scarborough, ontario, canada;
11400;ottawa, ontario, canada;49.0
11601;brooklyn, new york, usa;
11676;n/a, n/a, n/a;
11718;reno, nevada, usa;
11724;west lawn, pennsylvania, usa;42.0
11993;lakewood, colorado, usa;37.0
12154;pittsburgh, pennsylvania, usa;41.0
12538;byron, minnesota, usa;18.0
12824;long beach, california, usa;18.0
12917;moore, oklahoma, usa;24.0
12982;getxo, vizcaya, spain;41.0
13273;harrisburg, pennsylvania, usa;201.0
13552;cordova, tennessee, usa;32.0
13582;lisboa, lisboa, portugal;29.0
13850;online, n/a, usa;28.0
14387;coalville, leicestershire, england, united kingdom;35.0
14422;apple valley, minnesota, usa;
14456;edmonton, alberta, canada;27.0
14521;providence, rhode island, usa;
14667;rocky mount, missouri, usa;
15049;benbrook, texas, usa;28.0
15408;cary, north carolina, usa;34.0
