ISBN;Canonical_ISBN
1565920465;1565920317
1565920317;1565920317
0792276833;0792276833
0792277295;0792276833
0451168089;0451168089
067103975X;0451168089
0385007515;0451168089
0690091184;0690091184
006440143X;0690091184
0399143025;0399143025
0515123471;0399143025
0385004796;0385004796
051712226X;0385004796
1566196256;1566196256
1566196264;1566196256
1566199204;1566199204
1566191076;1566199204
1564145190;1564142493
1564142493;1564142493
0385474423;0385474415
0385474415;0385474415
0590965379;0590485741
0590485741;0590485741
0809288311;0809288311
0809288346;0809288311
0809250969;0809288311
0590436368;0590436368
0606044973;0590436368
0590303805;0590371177
0590371177;0590371177
059013440X;0590431668
0590431668;0590431668
0590132814;0590132814
0590471635;0590132814
0140058508;0880290145
0880290145;0880290145
0425076490;0877950245
0877950245;0877950245
0425105628;0877950245
0762411554;0762411554
0743235142;0762411554
0446602388;0446517704
0446517704;0446517704
0425073696;0425073696
0425131300;0425073696
1565076257;1565076257
1565075676;1565076257
0671822535;0671822535
0671468111;0671822535
0743471555;0743435427
0743435427;0743435427
1568582161;1568581645
1568581645;1568581645
0312855109;0312855109
0613288270;0312855109
0394497503;0394497503
0345346262;0394497503
0446365777;0446516619
0446516619;0446516619
0312867549;0312867549
0812570790;0312867549
0451524934;B00006H3BO
0451519841;B00006H3BO
0452262933;B00006H3BO
0151660387;B00006H3BO
848328006X;B00006H3BO
207036822X;B00006H3BO
8423328651;B00006H3BO
B00006H3BO;B00006H3BO
0582060184;B00006H3BO
3548234100;3548234100
3453164210;3548234100
1863739157;1863739157
0312180322;1863739157
0446610038;0316666009
0316666009;0316666009
0812550927;0553211889
0451524535;0553211889
0553211889;0553211889
0451452739;0451452739
1567403913;0451452739
3453182618;3453182618
3453194381;3453182618
0451457994;0451450639
0451450639;0451450639
0345303067;0345303067
0345413970;0345303067
0345358791;0345351738
0345351738;0345351738
0345413989;0345351738
0140371915;0140371915
0142400440;0140371915
0393034496;0393034496
0393312356;0393034496
0451203593;0399146245
0399146245;0399146245
0345446984;0345446976
0345446976;0345446976
0671451979;0671426087
0671601040;0671426087
0671426087;0671426087
0316693200;0316693200
0446612790;0316693200
060629807X;0316693200
0316695971;0316693200
1576735818;1576735818
1576739821;1576735818
067174349X;067174349X
1578660300;067174349X
044651716X;044651716X
0446607703;044651716X
0345315227;0345315227
0345423496;0345315227
0739437631;0739437631
1551667193;0739437631
0452272408;0525937072
0525937072;0525937072
0060158654;0060158654
0061094161;0060158654
0316603570;0316603570
1586215981;0316603570
158621599X;0316603570
0451410173;0525945687
0525945687;0525945687
0333750322;0333750322
033376594X;0333750322
0679429301;0679429301
0375703209;0679429301
0883659948;0671737198
0671737198;0671737198
0812510038;0812510038
0812510364;0812510038
0671251449;0671251449
0671831267;0671251449
1841953814;184195182X
184195182X;184195182X
0312854099;0312854099
0765308371;0312854099
0517701723;0517701723
0140273905;0517701723
0671874969;067155865X
067155865X;067155865X
0515088404;0515072575
0515072575;0515072575
0446394580;0446516643
0446516643;0446516643
0515127132;0515127132
0399144005;0515127132
014023389X;0571198104
0571198104;0571198104
0860074382;0860074382
0140143505;0860074382
0380001225;0860074382
1559210540;1559210540
1559211407;1559210540
0671019406;0671582313
0671582313;0671582313
0156659506;0156659506
0871401819;0156659506
0380977400;0380977400
0340748613;0380977400
0765301814;0312874863
0312874863;0312874863
0671414925;0671829653
0671829653;0671829653
0671464779;0671829653
0064430065;0590318977
0590318977;0590318977
0440404835;0440404835
0618150714;0440404835
0446527785;0446527785
0446611867;0446527785
0739420062;0446527785
0375728198;0446527785
1586211781;0446527785
0375430830;0446527785
0060170190;0060170190
0060925469;0060170190
0425167135;1565121791
1565121791;1565121791
0446531480;0446531480
0446613851;0446531480
1567314252;0385187858
0385187858;0385187858
0140291830;0374115184
0374115184;0374115184
0670834122;0670834122
0140134514;0670834122
0452261236;0452261236
0452273005;0452261236
0441003494;0441002080
0441002080;0441002080
0752843397;1857994353
1857994353;1857994353
157062187X;157062187X
1570627401;157062187X
155936078X;155936078X
1568651104;155936078X
155936078x;155936078X
0679724141;0394484479
0394484479;0394484479
0060186674;0060186674
006092859X;0060186674
0345351363;0345351363
0345386825;0345351363
0671555235;0671469207
0061003654;0671469207
0671469207;0671469207
0671705989;0671469207
0151157936;0151157936
0156012898;0151157936
0425111857;0425111857
0970238312;0425111857
0451183665;0525938028
0451210638;0525938028
0525938028;0525938028
0451174186;0525243909
0553450905;0525243909
0525243909;0525243909
0140100865;0525243909
1573225665;1573220132
1573220132;1573220132
0449909522;0517591103
0517591103;0517591103
0394520955;0394520955
0394712234;0394520955
0812553411;0812553411
0523485689;0812553411
0440221048;1556114451
1556114451;1556114451
0312261322;0312261322
0312275641;0312261322
0449224260;0449224260
0449006816;0449224260
0449906612;0395425085
0395425085;0395425085
1558743669;1558743669
1402505272;1558743669
0440506913;0385281366
0385302371;0385281366
0385281366;0385281366
0811215601;0811213099
0811213080;0811213099
0811213099;0811213099
0820317594;0688023983
0688023983;0688023983
0385418574;0385418574
038541885X;0385418574
1556701616;067144199X
0030514924;067144199X
0590412930;067144199X
0671455990;067144199X
051723159X;067144199X
067144199X;067144199X
0881010723;067144199X
0721417299;067144199X
0812580133;0312867239
0312867239;0312867239
0553108034;0553108034
0553381695;0553108034
0140282513;034538508X
034538508X;034538508X
0805000852;0805000852
0156181681;0805000852
345316413X;0749318473
0749318473;0749318473
3453130790;0749318473
0345256328;0345256328
0345273214;0345256328
0571203817;0571200818
0571200818;0571200818
0571203809;0571200818
0786004096;0786004096
0786013435;0786004096
0786703644;0345259122
0345259122;0345259122
0312420021;0374125139
0374125139;0374125139
042513301X;042513301X
0736644237;042513301X
080410428X;080410428X
158547021X;080410428X
0771014821;077101483X
077101483X;077101483X
0812966813;0375505458
0375505458;0375505458
0765342456;0812530055
0812530055;0812530055
0670894370;0670894370
0375431047;0670894370
0521408482;0521408482
0521402859;0521408482
0517122707;0807106577
0807126063;0807106577
0807106577;0807106577
0812504364;0899663818
0899663818;0899663818
0808519476;0899663818
1582341400;1582341400
0747558213;1582341400
1574900684;1574900684
0684813130;1574900684
0833550578;0531057925
0531057925;0531057925
0679769501;0060970863
0060970863;0060970863
0670838268;0670838268
0452268052;0670838268
0394589750;0394589750
0679734546;0394589750
0425190757;042518479X
042518479X;042518479X
0312204000;0312186851
0312186851;0312186851
0812565665;0312874553
0312874553;0312874553
051511927X;051511927X
0425179060;051511927X
0385311214;0385311214
0440217490;0385311214
055347216X;0385311214
061805670X;0395856981
0395856981;0395856981
0140272119;0670836990
0451182367;0670836990
0670836990;0670836990
0553264982;0553051431
0553051431;0553051431
0553582712;0553582712
0553801317;0553582712
0553578243;0553578243
0553107119;0553578243
0446667900;0316154075
0316154075;0316154075
1570429715;0316154075
B0000AA9JB;0316154075
0821728067;0877959544
0877959544;0877959544
0451204948;0670896764
0670896764;0670896764
0451211081;0670896764
0679744495;0679403337
0679403337;0679403337
8472231445;8472231445
8472237400;8472231445
0446404322;0892965851
0892965851;0892965851
0440921023;0440921023
0152050302;0440921023
0380017474;1892323869
1892323869;1892323869
0306811596;0306807971
0306807971;0306807971
0786886463;0786866462
0786866462;0786866462
1567404758;0786866462
0385260431;0385260431
0517162695;0385260431
0441007902;0425100324
0425100324;0425100324
0140073477;0060151455
0060151455;0060151455
0670803340;0670803340
0425121275;0670803340
0671702491;0671702491
1578660173;0671702491
0375502971;0375502971
0812966902;0375502971
0679762671;0679441220
0679441220;0679441220
0393323366;0140039449
0140039449;0140039449
0385325959;0385325959
0440227615;0385325959
0446670634;0446670634
0446608424;0446670634
0786860200;0786860200
0786880929;0786860200
0140170502;0140170502
0140170499;0140170502
0440223458;0385318294
0385318294;0385318294
0140173277;0670846724
0670846724;0670846724
0316171840;0316171840
0446362190;0316171840
0451187938;0684815230
0684815230;0684815230
0575602902;0575602902
0553289861;0575602902
0804113327;0809044056
0809044056;0809044056
0811214575;0380707861
0380707861;0380707861
0380680645;002506830X
002506830X;002506830X
0553052152;0553052152
0553272497;0553052152
0380725037;068812156X
068812156X;068812156X
0060171510;0060171510
0060926848;0060171510
0375411496;0375411496
037572558X;0375411496
0060509287;0060509287
0060509295;0060509287
1564025276;1564025276
0763614343;1564025276
0811822761;0862816343
0862816343;0862816343
039526619x;039526619x
039526619X;039526619x
140003065X;140003065X
0375414819;140003065X
140003065x;140003065X
0030591724;0030591724
0785787763;0030591724
0385266367;0385266359
0385266359;0385266359
0679448608;0679448608
0804118027;0679448608
0441009751;0441009751
0441011772;0441009751
0805051767;0805051767
067102471X;0805051767
0399141561;0399141561
0425159345;0399141561
0340793899;0340793899
0340823771;0340793899
0141002050;0670891770
0670891770;0670891770
0525947345;0525947345
0452285488;0525947345
0671875817;0671875809
0671875809;0671875809
0425183041;0440132622
0440132622;0440132622
0515134635;039914837X
039914837X;039914837X
0786865210;0786865210
0786884398;0786865210
0800607058;0800607058
0802724671;0800607058
0515131105;0399146415
0399146415;0399146415
1573228281;1573221465
1573221465;1573221465
0671536613;0671536621
0671536621;0671536621
0140386351;0531095398
0531095398;0531095398
0060805501;0060805501
0330334972;0060805501
0590959433;0590959433
043906628X;0590959433
0060183772;0060183772
0061097934;0060183772
0312420323;0805064958
0805064958;0805064958
1400030021;0380723417
0380723417;0380723417
0805023526;0805023526
0805050248;0805023526
0802137989;0140176640
0140176640;0140176640
155661683X;155661683X
1556616902;155661683X
060960225X;060960225X
0375401679;060960225X
0553266586;0233978887
0233978887;0233978887
038519045X;038519045X
051508834X;038519045X
0553354779;0394578775
0380812002;0394578775
0394578775;0394578775
0553278029;0553278029
0553527126;0553278029
0553274864;0553274864
0060652381;0553274864
0060652845;0553274864
0802724701;0553274864
006065273X;0553274864
1885378017;1885378017
1885378009;1885378017
0312905823;0312905823
0140261699;0312905823
044921835X;0684191318
0684191318;0684191318
0060975318;0679401113
0679401113;0679401113
186046002X;186046002X
0811214524;186046002X
014200023X;067089558X
067089558X;067089558X
0765302616;0708883419
0708883419;0708883419
0140166548;0670843024
0670843024;0670843024
0713990988;0713990988
0140145818;0713990988
0394588010;0394588010
0679730826;0394588010
0345388941;0679434593
0679434593;0679434593
0060193387;0060193387
0060931566;0060193387
0590510452;059051038X
059051038X;059051038X
015100529X;015100529X
0156011840;015100529X
0767901266;0767901258
0767901258;0767901258
0425188396;0425188396
0425193691;0425188396
0330481231;0330481231
0330412345;0330481231
0375707166;0140030255
0140030255;0140030255
080506897X;080506897X
0805072829;080506897X
0786706562;0786706562
0786707941;0786706562
1860496482;0786706562
0451403193;1559720824
1559720824;1559720824
0671318411;0671319418
0671319418;0671319418
0064408892;006023394X
006023394X;006023394X
1885983166;1885983166
0140275371;1885983166
1556112165;1556112165
1556112173;1556112165
0933377215;0933377215
0933377363;0933377215
0933377207;0933377215
0451524500;0451519825
0812504712;0451519825
0451519825;0451519825
0752843370;0752804634
0752804634;0752804634
1570425434;1570425434
0446522481;1570425434
0671737619;0671737619
0743474155;0671737619
0786711647;0786707283
0786707283;0786707283
0425196429;1565123891
1565123891;1565123891
0060272309;0060272309
0064438635;0060272309
0671705091;0671678574
0743457269;0671678574
0743439724;0671678574
0671678574;0671678574
0345432762;0375403442
0375403442;0375403442
0061084883;0061084883
0061098728;0061084883
0451158970;0910923124
1561641162;0910923124
0910923124;0910923124
1931498555;1893956032
1893956032;1893956032
0451161688;0451161688
0140384286;0451161688
0140272151;0140272151
0571192815;0140272151
0967370175;0967370175
1931561192;0967370175
0631189440;0631166165
0631166165;0631166165
0060256737;0060256737
0060256745;0060256737
0446524484;0446524484
0446609765;0446524484
0553212036;0553212036
0397306938;0553212036
0064401871;0553212036
0340577118;0553212036
0451525094;0553212036
0140366881;0140350284
0140350284;0140350284
0393315592;0374189501
0374189501;0374189501
0679445625;0679445625
0440223016;0679445625
0679445102;0679445625
0060172789;0060172789
006103021X;0060172789
0446516910;0446516910
0446604720;0446516910
0451204743;0451821416
0451821416;0451821416
0451404416;0451821416
0505524945;0380779994
0380779994;0380779994
0316289949;0316289949
0452270944;0316289949
0451144767;0316289949
0316290491;0316289949
0451407008;0451407008
0451407962;0451407008
0451188489;0140862102
0140862102;0140862102
0670866229;0140862102
0380722046;0380722046
0800792300;0380722046
0800793110;0380722046
0944276008;0688019323
0586063455;0688019323
0688019323;0688019323
0525945210;0525945210
0452281903;0525945210
0374270325;0374270325
0553580930;0374270325
0553478907;0374270325
0670814466;0670814466
0140272011;0670814466
0743456351;0743456335
0743456335;0743456335
0812519507;081252750X
081252750X;081252750X
0385500769;0385500769
0385720106;0385500769
0553527371;0385500769
0465043623;0465043623
038548254X;0465043623
0671624342;0671624342
0061007137;0671624342
0394562879;0394562879
0449134377;0394562879
0060166541;0060166541
006092182X;0060166541
0374520763;0374520763
0816633681;0374520763
0312853491;0312853491
0812520467;0312853491
0525935495;0525935495
0452270324;0525935495
034543434X;034543434X
0345435184;034543434X
0525675299;0525675299
0451197372;0525675299
0451518519;0451518519
1561036730;0451518519
087923430X;0451518519
0451526961;0451524942
0451524942;0451524942
0804101787;0877958165
0877958165;0877958165
0385507755;0385507755
1400031087;0385507755
0812516338;031285210X
031285210X;031285210X
0743202236;0743202228
0743202228;0743202228
0684853205;0684853205
